MEASURE,REGION_TYPE,ASGS_2021,FREQ,TIME_PERIOD,value
ERP,SA2,101021010,A,2016,4970
ERP,SA2,101021010,A,2017,5016
ERP,SA2,101021010,A,2018,5079
ERP,SA2,101021010,A,2019,5126
ERP,SA2,101021010,A,2020,5089
ERP,SA2,101021010,A,2021,5097
ERP,SA2,101021010,A,2022,5101
ERP,SA2,101021010,A,2023,5099
ERP,SA2,101021010,A,2024,5133
ERP,SA2,101021010,A,2025,5111
ERP,SA2,101041024,A,2016,3379
ERP,SA2,101041024,A,2017,3380
ERP,SA2,101041024,A,2018,3394
ERP,SA2,101041024,A,2019,3404
ERP,SA2,101041024,A,2020,3463
ERP,SA2,101041024,A,2021,3522
ERP,SA2,101041024,A,2022,3565
ERP,SA2,101041024,A,2023,3612
ERP,SA2,101041024,A,2024,3704
ERP,SA2,101041024,A,2025,3788
ERP,SA2,102011043,A,2016,11773
ERP,SA2,102011043,A,2017,11747
ERP,SA2,102011043,A,2018,11717
ERP,SA2,102011043,A,2019,11674
ERP,SA2,102011043,A,2020,11595
ERP,SA2,102011043,A,2021,11460
ERP,SA2,102011043,A,2022,11368
ERP,SA2,102011043,A,2023,11325
ERP,SA2,102011043,A,2024,11357
ERP,SA2,102011043,A,2025,11329
ERP,SA2,103011612,A,2016,11001
ERP,SA2,103011612,A,2017,10979
ERP,SA2,103011612,A,2018,10942
ERP,SA2,103011612,A,2019,10905
ERP,SA2,103011612,A,2020,10875
ERP,SA2,103011612,A,2021,10806
ERP,SA2,103011612,A,2022,10759
ERP,SA2,103011612,A,2023,10624
ERP,SA2,103011612,A,2024,10517
ERP,SA2,103011612,A,2025,10483
ERP,SA2,103031075,A,2016,0
ERP,SA2,103031075,A,2017,0
ERP,SA2,103031075,A,2018,0
ERP,SA2,103031075,A,2019,0
ERP,SA2,103031075,A,2020,0
ERP,SA2,103031075,A,2021,0
ERP,SA2,103031075,A,2022,0
ERP,SA2,103031075,A,2023,0
ERP,SA2,103031075,A,2024,0
ERP,SA2,103031075,A,2025,0
ERP,SA2,103041078,A,2016,20196
ERP,SA2,103041078,A,2017,20933
ERP,SA2,103041078,A,2018,21713
ERP,SA2,103041078,A,2019,22313
ERP,SA2,103041078,A,2020,22682
ERP,SA2,103041078,A,2021,23055
ERP,SA2,103041078,A,2022,23290
ERP,SA2,103041078,A,2023,23554
ERP,SA2,103041078,A,2024,23893
ERP,SA2,103041078,A,2025,24059
ERP,SA2,105031101,A,2016,17389
ERP,SA2,105031101,A,2017,18050
ERP,SA2,105031101,A,2018,18686
ERP,SA2,105031101,A,2019,19157
ERP,SA2,105031101,A,2020,19543
ERP,SA2,105031101,A,2021,19832
ERP,SA2,105031101,A,2022,20031
ERP,SA2,105031101,A,2023,20304
ERP,SA2,105031101,A,2024,20463
ERP,SA2,105031101,A,2025,20712
ERP,SA2,106021116,A,2016,7761
ERP,SA2,106021116,A,2017,7932
ERP,SA2,106021116,A,2018,8096
ERP,SA2,106021116,A,2019,8323
ERP,SA2,106021116,A,2020,8540
ERP,SA2,106021116,A,2021,8718
ERP,SA2,106021116,A,2022,8960
ERP,SA2,106021116,A,2023,9074
ERP,SA2,106021116,A,2024,9173
ERP,SA2,106021116,A,2025,9195
ERP,SA2,106041128,A,2016,5941
ERP,SA2,106041128,A,2017,5952
ERP,SA2,106041128,A,2018,5973
ERP,SA2,106041128,A,2019,6002
ERP,SA2,106041128,A,2020,6041
ERP,SA2,106041128,A,2021,6056
ERP,SA2,106041128,A,2022,6043
ERP,SA2,106041128,A,2023,6041
ERP,SA2,106041128,A,2024,6032
ERP,SA2,106041128,A,2025,5998
ERP,SA2,107011131,A,2016,24032
ERP,SA2,107011131,A,2017,24178
ERP,SA2,107011131,A,2018,24263
